id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106102368469494	,P2yKwzxiK,"24.9.4号顾客，术后两个月半反馈，感谢姑娘的反馈与分享❤️❤️❤️#费安军术后反馈#  术后即刻：
网页链接",,,,,2024-11-29T17:38:53,,0,0,0,费安军术后反馈,,2024-11-29 17:38:53,False,7964565895,CHERRY切瑞切切,5105639392544860	,P2mHNaG28,太喜欢现在的自己了，幼态了好多 @珈禾医师费安军 ,,"https://wx2.sinaimg.cn/large/008H0vqfly1hw1ribo7psj32c0340qv7.jpg,https://wx3.sinaimg.cn/large/008H0vqfly1hw1rie49mjj32c0340kjn.jpg,https://wx4.sinaimg.cn/large/008H0vqfly1hw1rigize0j32c03404qs.jpg,https://wx3.sinaimg.cn/large/008H0vqfly1hw1riiryyxj32c0340u0z.jpg,https://wx3.sinaimg.cn/large/008H0vqfly1hw1rikxwwaj32c0340u0z.jpg,https://wx1.sinaimg.cn/large/008H0vqfly1hw1ri6yf0mj32c0340kjo.jpg,https://wx4.sinaimg.cn/large/008H0vqfly1hw1ripkhbdj32c0340kjo.jpg,https://wx3.sinaimg.cn/large/008H0vqfly1hw1rl4fm9kj32c0340x6s.jpg,https://wx3.sinaimg.cn/large/008H0vqfly1hw1rin7f2ej32c0340b2c.jpg",,,2024-11-28T10:59:12,iPhone客户端,1,0,1,,珈禾医师费安军,2024-11-28 10:59:12
5104183823303431	,P1KQ6dRn9,"21.9.3号顾客，感谢分享❤️❤️❤️#费安军术后反馈# 
术后即刻：
网页链接
 ",,https://wx1.sinaimg.cn/large/006yLZHrgy1hvx4iz5rlbj31hc1z61kx.jpg,,,2024-11-24T10:35:17,,0,0,0,费安军术后反馈,,2024-11-24 10:35:17,True
5103935354569330	,P1EnljaGS,"22.7.30号顾客，术后两年3个月反馈，感谢姑娘分享❤️❤️❤️#费安军术后反馈# 
术后即刻：
网页链接
 
珈禾医师费安军的微博视频
 ",,,"https://f.video.weibocdn.com/o0/D9HN3haHlx08jODaVe8E010412003YlC0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732882961&ssig=mEikbNFNXD&KID=unistore,video",,2024-11-23T18:07:58,微博视频号,5,0,0,费安军术后反馈,,2024-11-23 18:07:58,True
5103818526425710	,P1BkUqXCu,"11月8号顾客 #费安军鼻整形# 
 
顾客是初鼻，术前整体精致度欠佳。鼻背鼻头高度欠缺，眉心三角自身足够饱满、不进行填充。正面立体度欠佳、鼻骨略宽、鼻翼宽大、外扩。
顾客喜欢自然偏华丽的鼻型。鼻背微起伏、轻微上转折。鼻头圆润精致。鼻骨内推、增加正面立体度。
方案：耳软骨假体隆鼻（立秀）+舒铂+宽鼻矫正+鼻翼外切+皮瓣推进#鼻整形#",,"https://wx1.sinaimg.cn/large/006yLZHrgy1hvvyjz8m9pj31hc1hcwuu.jpg,https://wx3.sinaimg.cn/large/006yLZHrgy1hvvyk06zvwj31hc1hcdvj.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvvyk0s08kj31hc1hcwv1.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvvyk1ktb3j31z91hckhr.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvvyk2a7x6j31hc1hcapx.jpg,https://wx1.sinaimg.cn/large/006yLZHrly1hvvykimrxkj30zk0k075e.jpg,https://wx1.sinaimg.cn/large/006yLZHrgy1hvvyk2t951j30zg1bawot.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvvyk3ct52j30zg1bagut.jpg,https://wx4.sinaimg.cn/large/006yLZHrgy1hvvyk41oavj30zg1badsg.jpg","https://f.video.weibocdn.com/o0/d0B1jl4elx08jO7ikaxy010412007EWY0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732882962&ssig=91zba8LIm1&KID=unistore,video",,2024-11-23T10:23:44,,1,0,1,"费安军鼻整形,鼻整形",,2024-11-23 10:23:44,True
5103594366046348	,P1vvmpmVK,24.7.26号顾客，术后近4个月反馈，小姑娘喜欢鼻背和鼻头高度一致，鼻头不用翘，喜欢这类鼻型的可以参考一下，感谢姑娘反馈❤️❤️❤️#费安军术后反馈# ,,"https://wx3.sinaimg.cn/large/006yLZHrgy1hvv8tsotx6j31hc1z1e81.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvv31vpw8yj31hc1z1e81.jpg,https://wx1.sinaimg.cn/large/006yLZHrgy1hvv8trik79j31hc1z1e81.jpg,https://wx4.sinaimg.cn/large/006yLZHrgy1hvv8tuzpy1j31hc1z17wh.jpg",,,2024-11-22T19:33:00,,1,0,0,费安军术后反馈,,2024-11-22 19:33:00,True
5103443842171887	,P1rAA970r,今日小雪，寒风渐起，愿我们心中温暖如初~ ,,https://wx2.sinaimg.cn/large/006yLZHrly1hvurjhrgboj30l616xah8.jpg,,,2024-11-22T09:34:52,微博网页版,1,0,0,,,2024-11-22 09:34:52,True
5103193455591837	,P1l4JnsGV,"23.4.29号顾客，术后一年半的反馈，感谢分享❤️❤️❤️#费安军术后反馈# 
术后即刻：
网页链接
 ",,"https://wx1.sinaimg.cn/large/006yLZHrgy1hvtys88enuj31hc2ie7qj.jpg,https://wx4.sinaimg.cn/large/006yLZHrgy1hvtys95h1uj31z91hch47.jpg",,,2024-11-21T16:59:55,,0,0,0,费安军术后反馈,,2024-11-21 16:59:55,True
5103076380247759	,P1i1U12s7,"小姑娘之前做的偏幼态鼻型，这次过来找我加高，喜欢偏华丽一点，鼻子配合下巴一起调整，后期又加高了眉弓的高度，整体风格变化很大，也很适合她👍，现在是术后一个月的反馈，感谢姑娘分享❤️❤️❤️#费安军术后反馈# 
珈禾医师费安军的微博视频
 ",,,"https://f.video.weibocdn.com/o0/zLxfTtUklx08jKQM0zRS010412005uQQ0E010.mp4?label=mp4_720p&template=720x1270.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732882961&ssig=V0mJbLQxY2&KID=unistore,video",,2024-11-21T09:14:42,微博视频号,4,0,0,费安军术后反馈,,2024-11-21 09:14:42,True
5102748240448736	,P19uE1SJG,"11月7号顾客 #费安军鼻整形# 
 
顾客之前有过2次隆鼻史，术前整体形态欠佳。鼻背假体歪斜。鼻头尖、软骨显形。鼻翼缘存在退缩问题且两侧不对称。鼻小柱歪斜、鼻孔不对称，尽量矫正。存在鼻小柱内陷问题，面中轻微凹陷。
顾客喜欢自然偏华丽的鼻型，张力合适范围内拉到最高、拉出面中。鼻额角适当明显，鼻背微起伏，轻微上转折，鼻头圆润精致，下小叶饱满。鼻翼缘尽量下拉，改善露鼻孔问题、海鸥线平缓。正面适当宽窄宽。
方案：半肋综合隆鼻（立秀）+鼻翼缘退缩矫正+鼻小柱内陷矫正+筋膜#肋软骨隆鼻#",,"https://wx1.sinaimg.cn/large/006yLZHrgy1hvsjlmqqbej31hc1hcgzq.jpg,https://wx4.sinaimg.cn/large/006yLZHrgy1hvsjls7gcmj31hc1hcqkr.jpg,https://wx4.sinaimg.cn/large/006yLZHrgy1hvsjlyukmzj31hc1hcapb.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvsjm6ci64j31z91hc1i3.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvsjm9zcqgj31hc1hc4f5.jpg,https://wx1.sinaimg.cn/large/006yLZHrly1hvsjn9c6ezj30zk0k0dgr.jpg,https://wx1.sinaimg.cn/large/006yLZHrgy1hvsjmigrtuj31hc1z11kx.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvsjmlh681j31hc1z1h7h.jpg,https://wx3.sinaimg.cn/large/006yLZHrgy1hvsjmm4u2dj30zg1ba0yc.jpg","https://f.video.weibocdn.com/o0/DXrXqL2Xlx08jJpeeaLK010412006YPu0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732882962&ssig=hbL%2Fe7e6Zz&KID=unistore,video",,2024-11-20T11:30:48,,1,0,1,"费安军鼻整形,肋软骨隆鼻",,2024-11-20 11:30:48,True
5102486233550985	,P12G3eTLX,"24.8.2号顾客，术后三个月反馈，感谢分享❤️❤️❤️#费安军术后反馈# 
术后即刻：
网页链接
 ",,"https://wx2.sinaimg.cn/large/006yLZHrgy1hvrpk7qn4lj31hc26tb0x.jpg,https://wx3.sinaimg.cn/large/006yLZHrgy1hvrpk8c0plj31hc1x2trl.jpg",,,2024-11-19T18:09:40,,0,0,0,费安军术后反馈,,2024-11-19 18:09:40,True
5102392689298242	,P10faD0TE,"11月6号顾客 #费安军鼻整形# 
 
顾客之前有过一次隆鼻史，整体精致度欠佳。术前山根高、鼻额角不明显。鼻翼缘呈三角形退缩同时存在鼻小柱悬垂问题。正侧面露鼻孔较多。
顾客喜欢自然偏华丽的鼻型。鼻额角适当明显，鼻背微起伏、轻微上转折。鼻头圆润微翘、微盒。鼻翼缘尽量下拉，能接受微露鼻孔、海鸥线平缓。
方案：半肋综合隆鼻（射极峰）+鼻翼缘退缩矫正+鼻小柱悬垂矫正#肋软骨隆鼻#",,"https://wx1.sinaimg.cn/large/006yLZHrgy1hvresavte8j31hc1hc7kg.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvresfqqx4j31hc1hch3k.jpg,https://wx3.sinaimg.cn/large/006yLZHrgy1hvressl1orj31hc1hch35.jpg,https://wx3.sinaimg.cn/large/006yLZHrgy1hvrestrr39j31z91hc1k8.jpg,https://wx3.sinaimg.cn/large/006yLZHrgy1hvresun50tj31hc1hck79.jpg,https://wx2.sinaimg.cn/large/006yLZHrly1hvret8mpamj30zk0k0my5.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvret407lmj31ba0zgakt.jpg,https://wx2.sinaimg.cn/large/006yLZHrgy1hvret4iqndj30zg1badr5.jpg,https://wx3.sinaimg.cn/large/006yLZHrgy1hvret4v277j30zg1bawis.jpg","https://f.video.weibocdn.com/o0/Lyx12G8ylx08jHQcFLrW010412008vrX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732882971&ssig=DhKiji1yMr&KID=unistore,video",,2024-11-19T11:57:58,,4,0,0,"费安军鼻整形,肋软骨隆鼻",,2024-11-19 11:57:58,True
