id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5102965488616477	,P1f92A9xr,"不知不觉也走过了𝟏整年的路，距离百年老店还有𝟗𝟗年
周年庆offer最好的机制回馈大家～",,,,,2024-11-21T01:54:03,无情的工作iPad Pro,11,8,0,,,2024-11-21 01:54:03,False,,,5102909916187782	,P1dHppXIW,"抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：
5104642200963426	,P1WLq42D8,"搞创作类工作久了，人多少都会有点习惯依赖的毛病。。。。很常见的就是烟酒，王德峰之前在复旦授课，教室里那个烟雾缭绕啊，他说真的没办法同学们，你们戴防毒面具吧，不抽烟我脑子都不会转了
我朋友的习惯是我见过最搞笑的，她依赖用升降桌。就办公要变换各种姿势让自己舒服，一会儿站一会儿坐一会儿跪
有一回她打电话问我家里有没有升降桌，我问怎么了，她说她的桌子卡住不会动了。。。但是她明天要交稿，现在愣是一个屁都憋不出来
很急，半夜重金求桌",,,,,2024-11-25T16:56:43,iPhone 16 Plus,11,2,0,,,2024-11-25 16:56:43,True
5104521149416340	,P1TCaDvCs,"终于可以按照秋天喜好穿衣服了
入秋快乐周一快乐
本周三就要直播了 搓手手！ ",,https://wx2.sinaimg.cn/large/007cWblcgy1hvy7825a95j30zu25ou0x.jpg,,,2024-11-25T08:55:42,iPhone 16 Plus,16,4,0,,,2024-11-25 08:55:42,True
5104422439092561	,P1R2XC9od,是谁对我的胸扔了二向箔。真无语了。 ,,,,,2024-11-25T02:23:28,iPhone 16 Plus,11,7,0,,,2024-11-25 02:23:28,True
5104362982473866	,P1Pv4anz4,"好东西太好了！！！！ 太好了！！！
女人看这部电影就像回到子宫一样舒服！
我们这一场氛围爆好，笑得好大声！
还有不下10次疯狂鼓掌！！！
上一次这样集体鼓掌还是2019年的复联4……#电影好东西# ",,"https://wx4.sinaimg.cn/large/007cWblcgy1hvxp1n34loj30wa1sx106.jpg,https://wx3.sinaimg.cn/large/007cWblcgy1hvxo1pnnvnj30w61w37cj.jpg",,,2024-11-24T22:27:11,iPhone 16 Plus,63,12,0,电影好东西,,2024-11-24 22:27:11,True
5104300805849441	,P1NSMoxHP,"分享一个我和我的医生们讨论出的，最适合我们这种「追求极致」&「妈生自然」&「长期主义」医美人的打针方案，也是我这次实践的！视频戳
网页链接
【一定要下拉看到最后】
1、轮廓固定半年后补针，我说是用了20支材料，实际上轮廓固定的总量只有7ml，大家看图！
这篇真的全是干货，能帮大家理解注射的材料究竟是怎么一回事
2、我是水肿体质，玻尿酸绝不用在面中，尤其是苹果肌的位置。但是太阳穴、耳后、下巴和嘴唇是可以用的
3、我不是嫌弃玻尿酸，我是没有福气享受这个全世界性价比最高的注射材料。脸上没肉的、干瘪瘦的、想要比较年轻丰盈感的姐妹，就可以优先使用玻尿酸，但是一定选乔雅登和瑞蓝。没有预算就先不打，不要去将就便宜货。
4、决定尝试这类打法的话，你可以拿1支菲林普利的caha粉末混三四支丰颜试试看，不用一开始就像我那样混那么多。确实浓度比较高硬得很，打进去比较涨，涨了有两三天。我是习惯了的，但我怕你们受不了。
5、最绝的是弗曼配caha，这个配法郭院是比较有经验的了，她很多客户都是只打胶原，也要帮客户考虑性价比的问题所以会建议混点caha
     但是没有打过胶原/caha的姐妹先别配，弗曼是有过敏概率的，caha暂时我还没收到有人反馈过敏，但是还是谨慎点好。先分开打，确认这俩在你脸上都没问题了，再考虑尝试混合
💡我真的蛮喜欢尝试不同医美技巧的，但是我不鼓励大家这么干，因为对于大部分人来说打原配就够了，是没有必要混来混去的。
我写这个就是拓展自己医美认知的边界，为一些小众需求的姐妹提供一些思路。
💡什么是小众需求？
·就是像我这样超级水肿体质的，我拿从小时候就开始肿的照片给医生看，很多医生都说，啊！真的还没见过这样的，那这个新材料你来先试一下…
·还有再生材料怎么打都不长的，真的就是一点都🈚️，打进去就石沉大海，那老是补玻尿酸也不是个事儿
·还有一些🥩毒耐药的……惨绝人寰，也不知道多久可以褪去，要是四五年都耐药，那衰老痕迹是无法管理的
·还有胶原过敏的等等
·以及有很大一部分早年做过脂肪填充和其他手术的，面部组织全乱了来修复，也比较棘手
这些需求虽小，但总要有人去探索研究。我在保证自己安全范围内，尽可能多尝试一些东西，也可以作为互联网上大家的一个观察样本。
团队都在试，我也要试，只观察不实践没有实感，我写不出来东西。
为艺术献身！俺愿意！",,"https://wx2.sinaimg.cn/large/007cWblcgy1hvxgpih9ioj31xo2kwe82.jpg,https://wx3.sinaimg.cn/large/007cWblcgy1hvxgpfbio9j31ds3jd1kx.jpg,https://wx3.sinaimg.cn/large/007cWblcgy1hvxh5ad3xoj337a37a7wj.jpg,https://wx1.sinaimg.cn/large/007cWblcgy1hvxh4nws4xj32ay32lx6q.jpg,https://wx3.sinaimg.cn/large/007cWblcgy1hvxgpei06jj34eo3b0x6u.jpg,https://wx1.sinaimg.cn/large/007cWblcgy1hvxgp9426mj33ej2jw7wj.jpg,https://wx4.sinaimg.cn/large/007cWblcgy1hvxgp74lr6j33fr2ktqv7.jpg,https://wx4.sinaimg.cn/large/007cWblcgy1hvxgp40ydrj32c03407wj.jpg,https://wx1.sinaimg.cn/large/007cWblcgy1hvxh4owb7zj31sc2dsnpd.jpg",,,2024-11-24T18:20:07,iPhone 16 Plus,147,50,30,,,2024-11-24 18:20:07,True
5103967685576406	,P1FdunoG2,大家一起来逛一下！别逼我求你！,,,,,2024-11-23T20:16:26,iPhone 16 Plus,10,2,0,,,2024-11-23 20:16:26,False,5907260560,没想到是条化妆的鱼,5103966346282720	,P1Fbkqmqc,"🧊𝑺𝒌𝒊𝒏𝑾𝒂𝒕𝒆𝒓｜在水等你回家～
🎁转关·抽𝟏位姐妹给你打🧧5OOO现金！
     评论·请分享你来在水体验的感受～
                抽𝟏𝟎位平分𝟏𝟎𝟎𝟎𝟎元在水基金！
                直接打进你的账户！@在水医疗美容SKINWATER 即将𝟏周岁的这天，终于迎来了我的第𝟏条探店视频…
这次带大家以我作为创始人的视角，看看一家医美机构是如何运营和成长的吧～
·我们坚持「以医生为主导」，所有客户均由医生面诊安排，每个人都是定制化方案；
·坚持「与美共和」，安抚焦虑，引导科学和谐变美；
·守护「安全底线」，非常重视客户变美中的皮肤安全乃至生命安全；
在水并不大，我一直认为我们是在螺丝壳里做道场，但即使是小小的一方天地也能大有作为；
很多朋友说在水高端，其实也并非如此，我们坚持走的是质价比路线，让更多人可以享受到好医生、好服务。
11.27 晚18:30 在水周年庆活动@没想到是条化妆的鱼 直播见～#年度变美好物##上微博学变美# 
没想到是条化妆的鱼的微博视频",,,"https://f.video.weibocdn.com/u0/iwp4wqtWgx08jOLCUhTG01041203Gasg0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732880435&ssig=7LyC2oqpYV&KID=unistore,video",,2024-11-23T20:11:07,微博视频号,3458,1726,4590,"年度变美好物,上微博学变美","在水医疗美容SKINWATER,没想到是条化妆的鱼",2024-11-23 20:11:07
5103939974858576	,P1EuNknW8,"我以一个消费者+博主+医美老板的角度，跟大家聊聊医美注射这个话题，想打注射的姐妹可以进一步了解一下：
1、注射和光电的「购买逻辑」是完全不同的。我用大白话来说，光电你可以用价格去筛选医生，200的光子和2000的光子就是有本质区别，不用怀疑，因为好医生不可能去做低价引流的光子，所以消费者可以很直接地通过价格去筛选医生。
2、但是注射不是这样的，甚至逻辑是完全相反的。注射品项的市场有一个最大的bug是「厂家控价」，就是说比如童x针好了，全国都是14800-18800的价格，它常规不可能低于这个价格，否则就会被取消认证、断掉供货、拉进黑名单。事实上高端的所有玻尿酸、再生材料都是控价的，都得12000往上。
3、无论是新手医生、还是普通医生、还是高定医生，都是一样的价格！消费者没办法通过价格去筛选医生！
价格下限被厂家兜住了（不允许卖低价），上限则是被市场限制住了（超高价不会有人买的）
4、这就很恐怖，你如果walk in去一家机构，就那半个小时的面诊时间你无法定位这个医生的真实水平，他的审美、技术、title你也无从求证
5、注射方面精细的功课怎么做？在这里我要讲：互联网上的真的有用。
      不仅是我的功课！其他博主的功课、以及我上一条骂过的xhs上那些机构的营销推广，都有用！！因为至少你可以提前了解到这位医生，他的案例、他的过往从业经历、他的审美、技术等等，不至于直接到线下开盲盒。至于怎么分辨你看的功课的真假、营销推广的可信度有多高，就得靠大家自己了。
我在上一条
网页链接
写过，医美怎么样搜查到「有效功课」？就是要去参考跟你体质相近的人，或者是你确认ta对医美是有比较全面了解的人（不要随便看到一个人说什么好就信！以前我们上学的时候学古诗还得去了解诗人的身世经历呢）
6、而且在互联网上，你是真的可以拿到最低的价格。比如日常价12000的针剂，我们开在水的周年庆，或者开高定，就能够低到7000/支，这个省得不是一星半点！打注射几乎都是4支起打，一省就是好几万！
注射团有很多，大家都在开，功课都在发，也都会把医生的履历案例公开得清清楚楚，你要打注射的话，提前了解医生是绝对不吃亏的！并且到了线下如果觉得不合适还可以立刻退掉走人。这就是电商的优势，把市场变得更透明。
7、分享一个我以前踩过的坑。
为什么我一直强调医生审美医生审美，你看我这下巴好看吗？
材料是乔雅登，实打实地花了五万多打的，这是个啥？医生技术没问题，产品也没问题，但这是个啥？这就是姐作为医美小白啥也不懂的时候听别人说某某医生很好，但没有仔细确认过眼神没选到对的人，打出来的丑下巴。还有点巫婆脸。
8、最后分享一下心态吧～我觉得这几年下来我do得还算是非常自然的，跟我的心态有很大关系，我不着急，不会有一点不顺眼就去do脸，而是真的碰到合适的医生、有个系统的规划以后才动手，我真的没有啥容貌焦虑。就算我当年打成那样，我都没去溶，就顶着这么一张脸得过且过，等到我确认自己明白了什么是我想要的美以后（大概过了一年多，这期间傅院也给了我很多建议），我才去做的第二次微调，第二次就很满意了！所以说大家不要急，不要挤牙膏式的一点点do脸，多面诊，多做功课，协调地动局部，再到全脸，这样能极大地避免踩坑。#小鱼的医美分享#",,"https://wx4.sinaimg.cn/large/007cWblcgy1hvwcioleq8j30zu25ox6p.jpg,https://wx3.sinaimg.cn/large/007cWblcgy1hvwcijskugj31sc2dsb29.jpg",,,2024-11-23T18:26:19,iPhone 16 Plus,198,34,23,小鱼的医美分享,,2024-11-23 18:26:19,True
5103883024338654	,P1D0WicGi,"初步做自己的年度复盘：
1、今年一个包也没买，没兴趣
2、买衣服花的钱是去年的1/10，几乎没怎么买
3、医美以针剂（水光、胶原、肉🥩）为主，抗衰光电只在年初做了一次热玛吉和超声炮炮头，其他无
4、中医和头疗护理支出飙升
5、居然看了有9本书
6、开了在水，筹备开第二家在水
回顾2024的过程中，我突然跳出了一个前所未有的念头：
我不是因为对人性失望、恐惧未来才选择不生育的（尽管我以前一直以为自己是这样）
我是因为对现状满意，每一年都明确感受自身的成长，对世界有着饿狼扑食般的好奇，才选择把力量集中在自我培养上的。
远近都有盼头。
想更有知识、更有力量、更健康、更漂亮、更有钱。
好朴实的愿望！",,https://wx1.sinaimg.cn/large/007cWblcgy1hvw656plxoj32882yzb2a.jpg,,,2024-11-23T14:40:01,iPhone 16 Plus,182,86,3,,,2024-11-23 14:40:01,True
5103279745271378	,P1njUm7ke,我记得之前有姐妹说想看偏肉脸案例，这不就来啦！整个脸小一圈！嘴唇也很piu亮！下巴眉弓超级自然！面部的提升全部都是通过打耳基底实现的,,,,,2024-11-21T22:42:48,iPhone 16 Plus,6,2,1,,,2024-11-21 22:42:48,False,7879886490,在水医疗美容SKINWATER,5102743257875053	,P19mBx2EZ,"如何去馒去泡 | 重get面部轻薄 骨相美
馒化、浮泡、臃肿脸....
有类似烦恼的小伙伴该如何去馒去泡？
来看这则在水修馒案例之一👇🏻
小姐姐表示即便自己处于静态表情，过往不当的填充，使得整体鼓泡感明显，中下面部Z肪堆积较重。
大白面 诊后，给出调整方案：
💉耳基底提升 + 立体眉弓 + 兜翘下巴 + 丰盈唇部 + 淡化泪沟
💉1张多维超配plus + 1张外轮廓提升卡
🔹 耳基底提升，改善浮泡感、对中下面部提拉效果明显，同时自然外翻的耳朵，视觉上让脸更v；
🔹 再配合下巴的兜翘，下巴向前拉的骨性力量+耳基底向上拉的提升力量，侧面下颌缘清晰可见；
🔹 五官细节也一个不落，改善倦容同时塑造面部中轴线的高光点，增添立体精致感。
Ps：小姐姐之前先通过热玛吉紧致压实，后用注射定点提升来改善。
先光电后注射，治疗更科学、注射更省量~
除了大白的选择外，选择适合自己do脸方案，更有助于避免馒化问题。#玻尿酸#  #在水案例分享#  #热玛吉#广州·在水医疗美容诊所",,"https://wx3.sinaimg.cn/large/008Bhcrogy1hvshzcvh4lj34xs2gwqva.jpg,https://wx1.sinaimg.cn/large/008Bhcrogy1hvshzci0p8j32v825fe88.jpg",,广州·在水医疗美容诊所,2024-11-20T11:11:00,微博网页版,6,2,3,"玻尿酸,在水案例分享,热玛吉",,2024-11-20 11:11:00
5103263701537205	,P1mU26rTD,真的很干货，追求极致自然感do脸的姐妹，可以参考看看～,,,,,2024-11-21T21:39:03,iPhone 16 Plus,9,1,0,,,2024-11-21 21:39:03,False,5907260560,没想到是条化妆的鱼,5103219550458853	,P1lKP1VmR,"🧊𝑺𝒌𝒊𝒏𝑾𝒂𝒕𝒆𝒓｜在水高定名医｜注射跟练！
*医美机构老板自己怎么do脸？
📝本期干货
-半年复诊补针，保持得怎么样？
-怎么样让弗曼胶原保持更久？
-极致的平整度，如何实现？
-双下巴立刻消失术？！
👍🏻超精彩！记得拿小本记！
💡Total剂量：1张多维plus卡+1张胶原卡
【11.27~11.28在水周年庆】—多维超配plus卡
【11.27~11.28在水周年庆】—胶原卡
·周年庆活动预告戳👉🏻
网页链接
·一篇了解在水戳👉🏻
网页链接
·了解在水郭院戳👉🏻
网页链接
·了解在水黄主任戳👉🏻
网页链接
🎉直播时间：11.27 晚18:30开播～
网页链接
      就在@没想到是条化妆的鱼 
      联系客服戳@在水医疗美容SKINWATER 
🎉同款郭院可预约时间：11.30
      （小鱼当天也会在院～🧚♀️
在水周年庆～祝大家变美愉快！#年度变美好物##上微博学变美# 
没想到是条化妆的鱼的微博视频",,,"https://f.video.weibocdn.com/u0/aa8DrYOegx08jLtCTUd2010412034VOt0E020.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732880436&ssig=g9smEb5ji0&KID=unistore,video",,2024-11-21T18:43:37,微博视频号,2782,511,2250,"年度变美好物,上微博学变美","没想到是条化妆的鱼,在水医疗美容SKINWATER",2024-11-21 18:43:37
5103215880440614	,P1lEU1QCG,已经一年了！！谁能想到！！一年前觉得很难、完全不懂、无数次想要退缩的事！！现在已经长成一周岁的可爱小宝了！！！谢谢大家的支持！！,,,,,2024-11-21T18:29:02,iPhone 16 Plus,13,14,0,,,2024-11-21 18:29:02,False,7879886490,在水医疗美容SKINWATER,5103212183162123	,P1lyWdgBZ,"💙在水年度大事件💙
🌈第一季度，达成100台黄金微针治疗成就！
🌈M22超光子一年内更换了两次手具！
...
从追梦到现实
在水的每一个里程碑时刻
都烙印着大家的支持与厚爱
不负时光，不负期盼
回顾那些意义非凡的时刻
每一次交付背后凝聚的专业与努力
这一年，只是开始
感恩陪伴，不忘初心
未来继续做您医学塑美路上的安全守护者与陪伴者#在水周年庆##广州在水#医美
广州·在水医疗美容诊所",,"https://wx2.sinaimg.cn/large/008Bhcrogy1hvu0kx1ahpj30m80xcdv2.jpg,https://wx4.sinaimg.cn/large/008Bhcrogy1hvu0kx0ftij30m80xc7mm.jpg,https://wx1.sinaimg.cn/large/008Bhcrogy1hvu0kx1wnjj30m80xcata.jpg,https://wx2.sinaimg.cn/large/008Bhcrogy1hvu0kwzzy2j30m80xcndd.jpg,https://wx1.sinaimg.cn/large/008Bhcrogy1hvu0kx0nlpj30m80xck5z.jpg,https://wx3.sinaimg.cn/large/008Bhcrogy1hvu0kwkciuj30m80xck3r.jpg,https://wx3.sinaimg.cn/large/008Bhcrogy1hvu0kxdp6vj30m80xc1kx.jpg,https://wx1.sinaimg.cn/large/008Bhcrogy1hvu0kx0fapj30m80xcqgx.jpg,https://wx2.sinaimg.cn/large/008Bhcrogy1hvu0kx4p8cj30m80xc4kp.jpg,https://wx1.sinaimg.cn/large/008Bhcrogy1hvu0kx3oebj30m80xcwzy.jpg,https://wx4.sinaimg.cn/large/008Bhcrogy1hvu0kx4oj1j30m80xc1jl.jpg",,广州·在水医疗美容诊所,2024-11-21T18:14:20,微博网页版,11,24,1,"在水周年庆,广州在水",,2024-11-21 18:14:20
