id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5104698531513354	,P1Yeh6lGW,回归自我，以心为引，人生境遇开阔而精彩，徜徉在旋律中，听见内心的回答。@X玖少年团肖战DAYTOY #肖战专辑我们#｜#我们的多棱镜#,,,,,2024-11-25T20:40:32,iPhone客户端,0,0,0,"肖战专辑我们,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-25 20:40:32,False,6643123988,肖战工作室,5104538758152436	,P1U4zycOU,"#肖战专辑我们# 人生是座孤岛，我们独自“漂流”探索着，无论去往哪个方向，只管向前。@X玖少年团肖战DAYTOY  #我们的多棱镜#  
肖战工作室的微博视频
5104011541744602	,P1Gme7jQK,"肖战#腾讯音乐由你榜# xz #肖战专辑我们#一个场景，一个人，坐在这里唱完一首歌，却好像带我们看遍了宇宙，演唱会预定一个好吗？@X玖少年团肖战DAYTOY 
我们#我们的多棱镜#.
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/hP95G1ALlx08jx8VbSHm010412018MWu0E010.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732881309&ssig=7lvsbXJaif&KID=unistore,video",,2024-11-23T23:10:42,肖战超话,0,0,0,"腾讯音乐由你榜,肖战专辑我们,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-23 23:10:42,True
5104011508453328	,P1Gmazt60,"肖战#腾讯音乐由你榜# xz #肖战专辑我们#人生境遇开阔而精彩，徜徉在旋律中，听见内心的回答。每个场景每个细节都是宝藏啊，充满无数巧思的设计师肖战和表现力十足的演员肖战，一起实现了歌手肖战的梦想。@X玖少年团肖战DAYTOY#我们的多棱镜#.
漂流
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/PN1LRXzMlx08jK7gxsdO01041202j8RY0E010.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732881305&ssig=grqw4m%2BqGZ&KID=unistore,video",,2024-11-23T23:10:34,肖战超话,1,1,1,"腾讯音乐由你榜,肖战专辑我们,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-23 23:10:34,True
5104011453402696	,P1Gm5ehcc,"#腾讯音乐由你榜# xz #肖战专辑我们#岁月流转，初心为引。聆听肖战用音符诉说故事，感受他每一步的足迹。@X玖少年团肖战DAYTOY 
我们#我们的多棱镜#.
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/dPXyDiP2lx08jz7dneAo01041203wpqH0E020.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732881291&ssig=Tt5kAW5By6&KID=unistore,video",,2024-11-23T23:10:21,肖战超话,0,0,0,"腾讯音乐由你榜,肖战专辑我们,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-23 23:10:21,True
5103216239578202	,P1lFtEbJ8,"肖战#肖战专辑我们#xz#腾讯音乐由你榜#他的内心不是孤岛，是最高的山峰，是无边的旷野，他的人生不设边界。所有的不妥协，不退缩，有了答案！@X玖少年团肖战DAYTOY#我们的多棱镜#肖战《漂流》
漂流
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/dyn1bhwDlx08jITrRjG801041202Rh9x0E020.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732881303&ssig=QouZnOc3M6&KID=unistore,video",,2024-11-21T18:30:27,肖战超话,1,227,0,"肖战专辑我们,腾讯音乐由你榜,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-21 18:30:27,True
5103216209167453	,P1lFqCsS9,"肖战#腾讯音乐由你榜# xz #肖战专辑我们#跟随肖战于纯粹炽热中沉醉，共渡江海，逐天地，观世界。@X玖少年团肖战DAYTOY 
我们#我们的多棱镜#.
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/yomoAvkflx08jvOkvspi010412028Lth0E010.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732881309&ssig=%2BkJzSYvx6E&KID=unistore,video",,2024-11-21T18:30:20,肖战超话,0,0,0,"腾讯音乐由你榜,肖战专辑我们,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-21 18:30:20,True
5103216189243981	,P1lFoCMMt,"肖战#腾讯音乐由你榜# xz #肖战专辑我们#一个场景，一个人，坐在这里唱完一首歌，却好像带我们看遍了宇宙，演唱会预定一个好吗？@X玖少年团肖战DAYTOY 
我们#我们的多棱镜#.
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/hP95G1ALlx08jx8VbSHm010412018MWu0E010.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732881309&ssig=7lvsbXJaif&KID=unistore,video",,2024-11-21T18:30:14,肖战超话,0,0,0,"腾讯音乐由你榜,肖战专辑我们,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-21 18:30:14,True
5103215940731426	,P1lF034hc,"肖战#腾讯音乐由你榜# xz #肖战专辑我们#面对彷徨与失意时，你我都一样。@X玖少年团肖战DAYTOY 
我们#我们的多棱镜#.
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/dPXyDiP2lx08jz7dneAo01041203wpqH0E020.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732881291&ssig=Tt5kAW5By6&KID=unistore,video",,2024-11-21T18:29:16,肖战超话,0,0,0,"腾讯音乐由你榜,肖战专辑我们,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-21 18:29:16,True
5103215912159324	,P1lEX93JO,"肖战#腾讯音乐由你榜# xz #肖战专辑我们#温柔治愈的歌声抚慰每个人的心事《我们》这张专辑每首歌都好好听啊！肖战真的太用心了。@X玖少年团肖战DAYTOY 
我们#我们的多棱镜#.#为都一样制作MV#.
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/dPXyDiP2lx08jz7dneAo01041203wpqH0E020.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732881291&ssig=Tt5kAW5By6&KID=unistore,video",,2024-11-21T18:29:09,肖战超话,1,223,0,"腾讯音乐由你榜,肖战专辑我们,我们的多棱镜,为都一样制作MV",X玖少年团肖战DAYTOY,2024-11-21 18:29:09,True
5103215888828593	,P1lEUB2IF,"肖战#腾讯音乐由你榜# xz #肖战专辑我们#万籁归于平静时，炽热的心依然跳动。且听歌曲旋律，跳动的音符如步伐从不停歇，《我们》一起“破界，跨界，闯世界”@X玖少年团肖战DAYTOY #肖战新专我们花式二创#.#我们的心声曲#.
我们
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/yomoAvkflx08jvOkvspi010412028Lth0E010.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732881309&ssig=%2BkJzSYvx6E&KID=unistore,video",,2024-11-21T18:29:04,肖战超话,1,220,0,"腾讯音乐由你榜,肖战专辑我们,肖战新专我们花式二创,我们的心声曲",X玖少年团肖战DAYTOY,2024-11-21 18:29:04,True
5103215840593799	,P1lEQ2utp,"肖战#腾讯音乐由你榜# xz #肖战专辑我们#与喜欢音乐的你，在奇幻的世界里漂流，找到最真实的自我。@X玖少年团肖战DAYTOY #我们的多棱镜#.
漂流
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/dyn1bhwDlx08jITrRjG801041202Rh9x0E020.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732881303&ssig=QouZnOc3M6&KID=unistore,video",,2024-11-21T18:28:52,肖战超话,1,224,0,"腾讯音乐由你榜,肖战专辑我们,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-21 18:28:52,True
5102880340051574	,P1cVI0dpQ,"肖战#肖战专辑我们#xz#腾讯音乐由你榜#曾经的热苏打在纸上画下自己的幻想世界，如今的巨星肖战把曾经画纸上的小世界慢慢的照进现实。去做任何你想做的吧，在你的世界里进行奇幻的冒险吧！@X玖少年团肖战DAYTOY#我们的多棱镜#肖战《漂流》
漂流
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/dyn1bhwDlx08jITrRjG801041202Rh9x0E020.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732881260&ssig=xcJI706lGq&KID=unistore,video",,2024-11-20T20:15:42,肖战超话,1,220,0,"肖战专辑我们,腾讯音乐由你榜,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-20 20:15:42,True
5102880282905865	,P1cVCcbWN,"肖战#腾讯音乐由你榜# xz #肖战专辑我们#跟随肖战于纯粹炽热中沉醉，共渡江海，逐天地，观世界。@X玖少年团肖战DAYTOY 
我们#我们的多棱镜#.
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/yomoAvkflx08jvOkvspi010412028Lth0E010.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732881309&ssig=%2BkJzSYvx6E&KID=unistore,video",,2024-11-20T20:15:29,肖战超话,1,223,0,"腾讯音乐由你榜,肖战专辑我们,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-20 20:15:29,True
5102880166251752	,P1cVqqemI,"肖战#腾讯音乐由你榜# xz #肖战专辑我们#返璞归真，寂静中聆听希望，旷野中寻找《我们》。@X玖少年团肖战DAYTOY 
我们#我们的多棱镜#.
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/hP95G1ALlx08jx8VbSHm010412018MWu0E010.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732881275&ssig=obPLoIkSyU&KID=unistore,video",,2024-11-20T20:15:01,肖战超话,1,221,0,"腾讯音乐由你榜,肖战专辑我们,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-20 20:15:01,True
5102880145543398	,P1cVong5E,"肖战#腾讯音乐由你榜# xz #肖战专辑我们#面对彷徨与失意时，你我都一样。@X玖少年团肖战DAYTOY 
我们#我们的多棱镜#.
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/dPXyDiP2lx08jz7dneAo01041203wpqH0E020.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732881255&ssig=f7%2FfowNkJ2&KID=unistore,video",,2024-11-20T20:14:56,肖战超话,2,229,0,"腾讯音乐由你榜,肖战专辑我们,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-20 20:14:56,True
5102880124308228	,P1cVmi4Ly,"肖战#腾讯音乐由你榜# xz #肖战专辑我们#让我们在不一样的故事中，寻得一样的闪闪星光。@X玖少年团肖战DAYTOY 
我们#我们的多棱镜#.#为都一样制作MV#.
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/dPXyDiP2lx08jz7dneAo01041203wpqH0E020.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732881255&ssig=f7%2FfowNkJ2&KID=unistore,video",,2024-11-20T20:14:51,肖战超话,1,230,0,"腾讯音乐由你榜,肖战专辑我们,我们的多棱镜,为都一样制作MV",X玖少年团肖战DAYTOY,2024-11-20 20:14:51,True
5102880098358008	,P1cVjz4iA,"肖战#腾讯音乐由你榜# xz #肖战专辑我们#穿过荒芜，探寻世间万物美好，让我们共同邂逅肖战的全新音乐世界，聆听《我们》的故事。@X玖少年团肖战DAYTOY #肖战新专我们花式二创#.#我们的心声曲#.
我们
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/yomoAvkflx08jvOkvspi010412028Lth0E010.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732881309&ssig=%2BkJzSYvx6E&KID=unistore,video",,2024-11-20T20:14:45,肖战超话,1,219,0,"腾讯音乐由你榜,肖战专辑我们,肖战新专我们花式二创,我们的心声曲",X玖少年团肖战DAYTOY,2024-11-20 20:14:45,True
5102880071619755	,P1cVh6Nn5,"肖战#肖战专辑我们# xz #腾讯音乐由你榜#迎接“我们”新的旅程，一起“漂流”去远方。@X玖少年团肖战DAYTOY #我们的多棱镜#肖战《漂流》
漂流
 ",,,,,2024-11-20T20:14:39,肖战超话,1,229,0,"肖战专辑我们,腾讯音乐由你榜,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-20 20:14:39,True
