id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105468831697766	,P2igH77Fk,额头提升,,,,,2024-11-27T23:41:27,iPhone 14,1,0,1,,,2024-11-27 23:41:27,False,5685241636,Lucky好运绵绵,5044527747042179	,OiGmWtxZx,"额头提升记录
🏥医院：be & young 就一个院长
5103468563404998	,P1sesehNk,"一件特别奇怪的事情 我做完腿之后体重没有变化 但是我对象和我爸都抱不动我了
 但是以前我对象是可以轻松把我抱起来的 现在我想重温一下公主抱他就求放过🙃以前刚在一起的时候 aiai的时候他就喜欢抱公主抱….轻松松松的
 然后我爸在我刚做完腿回家 把我抱上楼的时候 他一下没抱住差点摔倒….然后他问我怎么重了
我说我才38斤（那时候）你在开玩笑吧",,,,,2024-11-22T11:13:06,iPhone 14,0,2,0,,,2024-11-22 11:13:06,True
5103266524565326	,P1mYAj9Ei,"笑死我了 就很像我对象本来是哄我的 然后我乱动 一圈打到他的眼睛 然后他生气了跑掉 我去追他 结果我摔跤了 两个人都气得半死 
变有钱了就改名的微博视频
 ",,,"https://f.video.weibocdn.com/o0/J4QsWLfzlx08jLGAT71C01041200ftxa0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732806101&ssig=1S8ISrcp4P&KID=unistore,video",,2024-11-21T21:50:16,微博视频号,0,0,0,,,2024-11-21 21:50:16,True
5103200273434967	,P1lfJepAH,"onda做完脸好小…就是院长不让我做大的那个头 他说我脸上一点肉都没有
求了好多次都不愿意
下次去韩国再做！！ ",,,,,2024-11-21T17:27:01,iPhone 14,10,9,2,,,2024-11-21 17:27:01,True
5103138528822553	,P1jE8B19f,"好烦😫 这里人都好高 我还穿了拖鞋 背着书包
感觉自己像小学生 要死 ",,,,,2024-11-21T13:21:39,iPhone 14,0,0,0,,,2024-11-21 13:21:39,True
5103026708939043	,P1gJMBvs7,"活到现在遭到的罪都是女的给的
但遇到的男的都对我特别特别好 虽然也没遇到过几个 但是遇到的女生朋友5个四个背刺 还有明明都不认识 也是对我态度特别特别恶劣的
男生就是 我对他们都是玩玩而已 但是一个比一个好 给钱的给钱 真心的真心
但我还是厌男 女的倒不是说讨厌 但是绝对不会再付出真心了 ",,,,,2024-11-21T05:57:20,iPhone 14,6,7,1,,,2024-11-21 05:57:20,True
5102882136789051	,P1cYBsu8P,"下次买房子前要先进去住个一年
住舒服了 才能拿下 ",,,,,2024-11-20T20:22:51,iPhone 14,2,3,0,,,2024-11-20 20:22:51,True
5102846913022666	,P1c3NcGkG,"发现一个规律 平时脸不怎么容易浮肿了
但是来大姨妈的前一个晚上和第一天！会肿胀到脸是平时的三倍大
而且脸爆红…..然后第二天就好了 ",,,,,2024-11-20T18:02:53,iPhone 14,1,1,0,,,2024-11-20 18:02:53,True
5102808120691765	,P1b3e2TXv,"我妹妹命是真好…所以说啊 人这一生就是注定了的 命好 什么事情都不用干 就都有了
我的命就特别惨 天生劳碌命
什么都要自己弄 ",,,,,2024-11-20T15:28:44,iPhone 14,3,0,0,,,2024-11-20 15:28:44,True
5102797725106587	,P1aMslqsj,"笑死 我爸妈帮我去卖房子 结果亏太多 我妈气死了 叫我把房子卖给她….现在首付才15%
我说随便你 我就给了个亲情价…..因为以后兜兜转转 这个房子还是归我的 亏点就亏点 反正爸爸妈妈又不是外人 ",,,,,2024-11-20T14:47:26,iPhone 14,1,3,0,,,2024-11-20 14:47:26,True
5102541366367641	,P146YqIvT,"房价应该不会回暖了吧
在想要不要低价卖掉 以后再换个大的 亏死了 ",,,,,2024-11-19T21:48:45,iPhone 14,1,2,0,,,2024-11-19 21:48:45,True
5102138067521060	,P0TCuvyzq,"我就没骂过椰壳 至少她暂时没有做出背刺女性的行为 
麦林都背刺成什么样了 hsy和gx何罪之有 要被她这样欺负 ",,,,,2024-11-18T19:06:11,iPhone 14,4,0,0,,,2024-11-18 19:06:11,True
5102133349188528	,P0TuSCym4,"我昨天晚上看再见爱人 我把自己带入到麦林身边的人 真的一整个大崩溃
真的感觉另外两个女生脾气太好了 换我我真的忍不住要骂 我现在就忍不住了🙃
虽然我在抖音上刷到 有人说爱女就不能参与对女性的围剿 但是对不起 我只爱有素质的女的 而且我只围剿傻逼，不分男女
我不信说这个话的人没私底下和朋友蛐蛐过女的，我只想说 不要袒护傻逼，不然以后怎么被傻逼害的都不知道。",,,,,2024-11-18T18:47:26,iPhone 14,2,1,1,,,2024-11-18 18:47:26,True
5102051564720680	,P0RmYjO40,角色互换一下 假如我的老公是麦麦这种性格的 我未必能有lhl做的这么好….. ,,,,,2024-11-18T13:22:27,iPhone 14,0,0,0,,,2024-11-18 13:22:27,True
