id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106136175347274	,P2zD3mr4m,我在家就是这么笑的,,,,,2024-11-29T19:53:14,,1,0,0,,,2024-11-29 19:53:14,False,6267467667,青春影视室,5104649306375670	,P1WWSqKBo,"你比李冰冰漂亮 吼吼吼
 ",,"https://wx4.sinaimg.cn/large/006Q9EEbgy1hvylz8x4inj31400u0mye.jpg,https://wx3.sinaimg.cn/large/006Q9EEbgy1hvylz3xof5j30k00zk3zj.jpg","https://f.video.weibocdn.com/u0/3u16PXvXgx08jRLYGgMU010412001Rkz0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732888291&ssig=QiicKvP5E6&KID=unistore,video",,2024-11-25T17:24:57,微博视频号,32,14,17,,,2024-11-25 17:24:57
5105333016463650	,P2eJDr7uq,"这两年的医美热度明显退潮了
而像点阵激光这样的治疗型项目反而变得更火，这两年全国UP点阵激光采购的机构也更多了，均价也有所下调 ",,,,,2024-11-27T14:41:46,,8,2,0,,,2024-11-27 14:41:46,True
5105281514607326	,P2dozjkzI,"这个东西有谁是当化妆水一样往脸上拍的？
麻膏前全脸涂抹3~5滴就够了，不要贪多。 ",,https://wx4.sinaimg.cn/large/005Qdru6gy1hw0mgqxbojj30m80m8gr3.jpg,,,2024-11-27T11:17:07,,18,7,5,,,2024-11-27 11:17:07,True
5104920107155803	,P23ZEu1yb,这个新买的挂画蛮好的我觉得 ,,https://wx3.sinaimg.cn/large/005Qdru6gy1hvzh2z2cyrj33sw5lwu11.jpg,,,2024-11-26T11:21:01,,3,2,0,,,2024-11-26 11:21:01,True
5104638552707635	,P1WFxbmnx,"曾经看到一个rz博主说某个唇膏性价比很高，因为配料表里有很多种珍贵植物油
100多块钱的4g唇膏，就算油脂含量是100%，好像也谈不上性价比吧
 ",,,,,2024-11-25T16:42:13,,13,4,0,,,2024-11-25 16:42:13,True
5104270060028501	,P1N5c07pH,干到可以三分钟吸干一片面膜 ,,https://wx4.sinaimg.cn/large/005Qdru6gy1hvxef9b76pj30u0188wk4.jpg,,,2024-11-24T16:17:58,,8,6,0,,,2024-11-24 16:17:58,True
5103923574605354	,P1E4ljk3U,经济差到什么程度？国内奥莱比斯特打折快赶上欧洲了 ,,,,,2024-11-23T17:21:09,,5,4,0,,,2024-11-23 17:21:09,True
5103845529355306	,P1C2sDfK2,现在的主人家挺有爱的 ,,"https://wx3.sinaimg.cn/large/005Qdru6gy1hvw1o7cajcj30zk1bfq8y.jpg,https://wx3.sinaimg.cn/large/005Qdru6gy1hvw1o7sqsnj30zk1bfjw0.jpg",,,2024-11-23T12:11:02,,7,4,0,,,2024-11-23 12:11:02,True
5103650164447449	,P1wXmiEZ3,好怕左边一口吃掉右边的头//@梦娜女王度假版:女王早就说了这世界完了//@动不动中了好多米:再给我恋丑试试看呢,,,,,2024-11-22T23:14:43,,7,2,11,,"梦娜女王度假版,动不动中了好多米",2024-11-22 23:14:43,False,7945864627,跑跑嫩逼人,5103616625215814	,P1w5glSS2,我要吐了🤮 ,,https://wx4.sinaimg.cn/large/008FK2mTgy1hvvbduytv6j30zu25oe81.jpg,,,2024-11-22T21:01:27,iPhone 14 Pro Max,7825,123,527,,,2024-11-22 21:01:27
5103460712711173	,P1s1NbniB,大幅下调房价是不可能的，那么就通胀放水。过十几年，房价依然相对稳定就是变相下调 ,,,,,2024-11-22T10:41:54,,8,0,0,,,2024-11-22 10:41:54,True
5103068062943238	,P1hOuclFA,"竟然已经出效果了
以前不管是美斯蒂克还是爱尔菲琳旧版第二天都还是肿肿的 ",,https://wx2.sinaimg.cn/large/005Qdru6gy1hvtkdtpbvbj33sw528b2e.jpg,,,2024-11-21T08:41:39,,4,10,0,,,2024-11-21 08:41:39,True
5102924973214125	,P1e5Hdu8J,我被ai攻击了//@华妃宠冠六宫:这眼睛好小啊,,,,,2024-11-20T23:13:04,,2,6,0,,华妃宠冠六宫,2024-11-20 23:13:04,False,5352237550,电光火石肥老师,5102923909172326	,P1e3YCu8K,爱尔菲琳这个新版消肿也太快了吧 ,,"https://wx1.sinaimg.cn/large/005Qdru6gy1hvt3tl6fh0j33sw528npi.jpg,https://wx4.sinaimg.cn/large/005Qdru6gy1hvt3tpcgw5j33sw5281l4.jpg",,,2024-11-20T23:08:50,,10,6,3,,,2024-11-20 23:08:50
5102923909172326	,P1e3YCu8K,爱尔菲琳这个新版消肿也太快了吧 ,,"https://wx1.sinaimg.cn/large/005Qdru6gy1hvt3tl6fh0j33sw528npi.jpg,https://wx4.sinaimg.cn/large/005Qdru6gy1hvt3tpcgw5j33sw5281l4.jpg",,,2024-11-20T23:08:50,,10,6,3,,,2024-11-20 23:08:50,True
5102819193653463	,P1bl5fkqP,去给面中下缘打爱尔菲琳了 ,,https://wx4.sinaimg.cn/large/005Qdru6gy1hvsrrz0dupj33sw528kjp.jpg,,,2024-11-20T16:12:44,,3,13,0,,,2024-11-20 16:12:44,True
5102457541891165	,P11VM7VYF,"合作机构的设备很多。这俩都是好东西，但都没卖
哪天医生用熟了我才会开卖。像前段时间推的冷拉提，Actually两年前我合作机构里就有了 ",,"https://wx4.sinaimg.cn/large/005Qdru6gy1hvrm6qn180j30u01hc12y.jpg,https://wx3.sinaimg.cn/large/005Qdru6gy1hvrm6xlf69j30u01hcwpn.jpg",,,2024-11-19T16:15:40,,4,8,0,,,2024-11-19 16:15:40,True
5102386059677650	,P104tEBB8,"不喜欢卖单部位除皱
1.如果你的除皱需要20个单位，机构的那瓶药还剩16个单位。那你觉得机构会重新给你开一瓶，补齐20个单位，还是用16u给你将就一下呢？
2.[预防皱纹] 比 [除皱] 更高级
打个比方，你有严重的抬头纹，那你打肉毒只能在让眼睛变小和保留部分抬头纹之间选择
3.一次性打多部位 比 多次打单部位除皱 更不容易耐药",,,,,2024-11-19T11:31:37,,18,4,3,,,2024-11-19 11:31:37,True
