id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105995547936117	,P2vYexixT,//@愿你被一切温柔以待:我是业内多说一句：磨骨这类手术先不说风险了，做完以后头两年的紧实感是因为皮下疤痕增生的“副作用”，过几年一看一个不吱声，拍戏都得逐帧修图，我之前说了一个大热剧的女明星就是这个症状，刚开始朋友完全不相信，后面她人不行拿放大镜去看那剧，果然发现,,,,,2024-11-29T10:34:26,iPhone客户端,0,0,0,,愿你被一切温柔以待,2024-11-29 10:34:26,False,7646070627,美丽猪头又,5103522263073524	,P1tD4cTyY,"刷到一个博主（好运美丽小富婆）
用明星照片分享“轮廓的副作用”
5105038470415398	,P274z1K3Y,有片子比较直观 女神上提的有点多，但这个术士的确可以不断喙突的情况下充分内推。但没法取钉，和订颅骨基本没差了 就是这个超上提只适合太阳穴凹陷的,,,,,2024-11-26T19:11:20,iPhone 16 Pro Max,0,0,0,,,2024-11-26 19:11:20,False,6731595793,小琪审美功课,5104983376921255	,P25DHt2x9,"颧骨功课
1️⃣ru：高位截骨，上提固定。左边颧弓在关节内，最宽处是关节。右边颧弓最宽是打钉处。颧弓推完之后是\ /。雷点❌：左右顺手有点严重。颧骨钉子没打好，导致看ct没有推进眼眶骨。
2️⃣345:中位截骨，上提固定。颧弓推进了关节里，颧弓推完之后是\ /。颧骨推进了眼眶骨内。雷点❌：颧骨去骨量大。推完正脸最宽处是打钉处。有野生反馈，345颧弓推不进去。
3️⃣respect：高位截骨，上提固定，颧弓推进了关节里，颧弓推完之后是\ /。颧骨推进了眼眶骨内。雷点❌：推完正脸最宽处是打钉处。
4️⃣cooki：高位截骨，上提固定，颧弓推进了关节里，颧弓推完之后是（）。颧骨推进了眼眶骨内。雷点❌：推完正脸最宽处是打钉处。推完之后是（）。
cooki雷点总结（被限流了）
网页链接
5️⃣女神：高位截骨，超上提固定，颧弓推进了关节里，推完正脸最宽处是关节，颧弓推完之后是\  /。颧骨推进了眼眶骨内。雷点❌：东非大裂缝，上提太多太阳穴嘭💥出，颧弓打钉处基本不能拆。
⚠️耳前骨韩国医院大部分都是不处理，只会稍微打磨。因为处理太多会影响固定，后期取钉子可以再磨一下。",,https://wx3.sinaimg.cn/large/007lz5zHgy1hvzock9id7j30v83u74qh.jpg,,,2024-11-26T15:32:26,iPhone 15 Pro,10,0,7,,,2024-11-26 15:32:26
5105021635266401	,P26Dpm61X,"感觉真的大阔面都找不到别人的案例也找不到模版……
翻到18年和别人聊的时候的结论
1. 平面颌显大是因为整体平，动骨头容易垂且改善不大
2.平面颌最应该做鼻子拉立体度，搞五官面部平整度抗衰减肥
回看那时候因为熬夜和胖和乱减肥真的垂，现在各种手段拯救下来反而比那个时候软组织看起来好 ",,,,,2024-11-26T18:04:27,iPhone 16 Pro Max,0,1,1,,,2024-11-26 18:04:27,True
5104922584420082	,P243EixRE,上半身,,,,,2024-11-26T11:30:52,iPhone 16 Pro Max,0,0,0,,,2024-11-26 11:30:52,False,7714939020,体雕医生熊路遥,5102792665202856	,P1aEilPv2,"🐻🐻🐻【年终体雕季】感恩熊熊粉丝抽奖活动正式上线❗️
🐻🐻🐻限时活动，参与活动领取双S曲线❗️
具体的活动详情下面文案中公布，名额有限，具体咨询请戳v x ：
现在关注@体雕医生熊路遥 与我互动，积极转发、评论、点赞我的微博，累计互动分值。活动截至到12月18日，微博粉丝互动榜排名前2名将直接获得一等奖。
二等奖由@微博抽奖平台 从本条博文“转赞评”中抽取幸运粉丝。
🐾一等奖（互动榜）：享熊路遥手臂环吸/腰腹环吸/大腿环吸三选一免单， 共2️⃣位！
🐾二等奖：🧧188.88元，抽取1️⃣8️⃣位！
活动说明：
1：参与条件：所有中奖的粉丝，要保证注册账号超过3个月；账号必须实名身份认证（实施手术时查验身份信息）。开奖时转发内容不得删除，否则奖励作废。
2：享受手术费用免单的粉丝，默认成为我院案例客户，同意分享手术效果。
3：互动排行榜单前2名的粉丝，需在我进行私信确认获奖后的一周内联系@熊路遥助理Andy 并确认兑换奖励，确认后不得变动，不得转让，逾期自动丧失手术优惠资格。
4:  本活动仅限于吸脂整形项目的手术费用，不包含其它部位手术费、麻醉费、杂费。
5：若抽中多种奖项，则按最高级别奖项为准。
6：使用时效：兑奖后三个月内有效，可更改一次手术日期，超出三个月未使用自动作废。
注意事项：
1. 能充分理解医学的不确定性，也理解个人审美观点存在很大的差异，愿意听从熊路遥医生的意见。若审美、手术方案与熊路遥医生不能达成一致，或体检发现身体有不适合手术的情况，自愿放弃本次机会。
2.不能接受及承担手术的客观风险，或手术费用将影响正常生活的不建议参与。#好物分享##熊路遥体雕##吸脂##好物推荐#吸脂
 
抽奖详情",,"https://wx3.sinaimg.cn/large/008q764kgy1hvsogts0jkj30yi22ou0x.jpg,https://wx3.sinaimg.cn/large/008q764kgy1hvsogsle3yj30yi22o4qp.jpg",,,2024-11-20T14:27:18,iPhone 16 Pro Max,70,103,82,"好物分享,熊路遥体雕,吸脂,好物推荐","体雕医生熊路遥,微博抽奖平台,熊路遥助理Andy",2024-11-20 14:27:18
5103950313032197	,P1ELtcIOp,"有时候觉得普人折腾是挺没劲的，折腾完是比原来好一点点点（还存疑）的普。
但怎么说呢，就是一个做决策改造自己，得到结果，为结果买单的过程吧。
当然不是绝对这么理性，反复横跳，背后的心理缺失，打破再治愈。 ",,,,,2024-11-23T19:07:24,iPhone 16 Pro Max,1,0,0,,,2024-11-23 19:07:24,True
5103943653524933	,P1EAJeMZL,"夏天过去之后就开始犯🐷瘾了…
还做啥轮廓啊
离目标体重越来越远 ",,,,,2024-11-23T18:40:56,iPhone 16 Pro Max,0,0,0,,,2024-11-23 18:40:56,True
5103254151367640	,P1mED5JMI,转发微博,,,,,2024-11-21T21:01:06,iPhone 16 Pro Max,0,0,0,,,2024-11-21 21:01:06,False,5889038947,凶柿炒蛋拌饭王,5102406779799181	,P10BTF7dj,"2024.11.18 韩国Arc 雅阁整形外科面诊记录@雅阁整形外科医院  （价值50w
第一次听到名字是去年大概11月12月@天天都要吃泡菜 提到过可以去面诊看看（其实开始害怕，没太考虑韩国做这种大手术 所以印象不深后来看聊天记录又确认了下
想来韩国面额头提升有朋友劝可以面面韩国颧骨！8月底9月初那时候 8年纪就认识的日本铁子做完正颌后我们聊天 她说起来她的发小姐姐在韩国雅阁做了轮廓做的很好 以前去日本找她玩见过这个姐姐 我马上联系 我们whatsapp视频 她跟以前变化巨大 做的很像周子瑜（她本身就是小头小脸） 我们聊了蛮久，她说雅阁在韩国人和日本人中真的蛮出名 
我一直对我颧骨到底动不动超纠结，没有很明显的指征，但左右不对称形态太明显，加上形态真的有点土土的
9月底 我下定决定要动颧骨 10月初跟雅阁直接定金定住了11.19号手术
今天面诊 医院占9层一层楼 院里人所有人都超nice  前台 咨询 中文室长（还见到了日本室长） 都超有礼貌超和善 面诊过程很长 每一个需求都是有来有回 有问必答 没有乱推项目 看到我对项目有疑虑也理解我 说可以先不用做
1、先问了院长履历：院长是首尔大毕业 之前是欧佩拉的代表院长 2021年11月 独立出来开创了雅阁 手术经历20多年
2、什么样的颧骨形态适合我：我面中凹陷+鼻基底凹陷（院长和咨询都建议以后一定要do鼻和鼻基底
我真的鼻子超丑），不能推极致，不会好看，这和我的观念也一致，我自己也喜欢柔和一些的颧骨（p1@陈桃子_ 的功课这张宋慧乔拼图是我的模版，又找了些乔妹和irene的图 她们是我模版）
3、颧骨一边大一边小，尽力调对称（我真的很在乎对称问题谁懂啊
！！！）左边颧弓推4mm，颧骨2mm 保留45度 不去骨. 右边颧骨比左边大蛮多，需要去骨. 颧骨45度不横切 留角（不一刀切，要留角） 我不是个短脸！非常在意脸绝对不能显的更长！我坚决拒绝变马脸变驴脸！这个我等下术前还要跟院长面诊强调一下！
4、耳前骨单独算部位不包含在颧骨1件套价格内，单独项目需要磨一下
5、关于耳前韧带固定，朋友告诉我这个地方松垮或者固定不好后续问题很大. 院长说他不会碰到耳前韧带不会剥离到韧带，不需要担心这个问题
6、退颧骨后 嘴位变化问题，院长说这个问题一定程度上不可预测，但他会在剥离过程中帮我好好保护，尽量做到不造成嘴位下降
7、关于皮肉和垂的问题，院长说我的法令纹尤其右边会有一丢丢挤压，所以建议我术中或者后期一定做个鼻基底. 
8、我问了下院长我颏成型和颏侧会不会太保守 再多切一点会不会有改善 雅阁院长说我颏成型和颏侧 ljf做的很顺滑 衔接很好 留大角不显脸长也符合我要求 目前看没有再二切的必要
9、关于价格 颧骨一件套520w+磨耳前骨130w 目前医院的活动是（p8），一件套一共100w优惠： 面诊后24小时面诊记录50w，一周 两周 1个月记录 25w  ，2个月 3个月 半年25w. 
10、手术全程都可以cctv公示 院长独立完成 保证绝对没有换手和其他意外情况！
等一下手术啦 祝我好运
术前院长还会跟我确定一下细节
这是一条价值50w的面诊记录 没抽象 不是托儿 素人一个 医院现在活动写面诊记录有50w优惠#韩国雅阁整形外科##Arc#",,"https://wx3.sinaimg.cn/large/006qxO39gy1hvrgf7v858j31gy0qo44z.jpg,https://wx2.sinaimg.cn/large/006qxO39gy1hvrgf8ccy1j30qo0ypjv9.jpg,https://wx1.sinaimg.cn/large/006qxO39gy1hvrgf8zmclj30qo1lt448.jpg,https://wx3.sinaimg.cn/large/006qxO39gy1hvrgf9o5w5j30qo0wlq7f.jpg,https://wx3.sinaimg.cn/large/006qxO39gy1hvrgfa79f8j30qo0z0q6t.jpg,https://wx3.sinaimg.cn/large/006qxO39gy1hvrgfbxox0j30ro0qoafq.jpg,https://wx1.sinaimg.cn/large/006qxO39gy1hvrgfcfvf1j30qo0y2tbk.jpg,https://wx4.sinaimg.cn/large/006qxO39gy1hvrgfd3ipij30qo11haew.jpg,https://wx3.sinaimg.cn/large/006qxO39gy1hvrgf70y5pj33b04eox6s.jpg,https://wx4.sinaimg.cn/large/006qxO39gy1hvrgfpriymj33b04eox6s.jpg,https://wx2.sinaimg.cn/large/006qxO39gy1hvrh834e3ej32c0340npf.jpg",,,2024-11-19T12:53:57,iPhone 15 Pro,19,10,4,"韩国雅阁整形外科,Arc","雅阁整形外科医院,天天都要吃泡菜,陈桃子_",2024-11-19 12:53:57
5103205556421704	,P1lofqWzS,转发微博,,,,,2024-11-21T17:48:00,iPhone 16 Pro Max,0,0,1,,,2024-11-21 17:48:00,False,6574545544,一点点小号,5091942914853767	,OCzR1kmGz,"几个医院的截骨线讨论
看了 莓柿 的原博 分析女神的截骨线更内折（前后的骨头有高低落差）在脸上折叠度更高，巴诺的比较外放会让脸变饼，（看到过一个博主的确脸更扩散了...）但是听很多民宿的姐妹说巴诺的真人做的都很好看 ，比较满意，可能这一点差别被皮肉盖过了 在脸上表现的也就不明显了 ...  去年跟一个博主讨论是较低的截骨线mmp点才会比较好的下降也就是咱们说的45 度降低，但是外轮廓的缩窄就效果没那么好，过于竖直的截骨线mmp 点又不能很好的内聚，这是不能两全的，1% 说自己设计的截骨线可以两全，（存疑）
P1   ，1% 说自己的发明的high L 截骨线（听说是ID发明的这个词，院长的确也是ID出来的）他的截骨线竖直角度向下向内延伸的多了一点切掉一部分眼眶骨的同时还可以解决掉45 的高点mmp很好的内移 
P3 巴诺的截骨线角度比较平缓相较于cooki女神没那么竖直，但是可以很好的解决mmp点内移，但是脸也不会很窄长，这也是巴诺吴的审美他不喜欢长蛋脸 他喜欢颧弓留一点的短蛋脸（韩国其他院长都喜欢长窄脸）所以长脸的姐妹找巴诺脸会变得偏短幼一点点  但是她的确眼眶骨下缘骨头有点多，这也是他幼的原因 
P4 分别 🍪的截骨线，应该也算长臂截骨，角度感觉都差不多。顺切一点外眼眶骨 ，这样的截骨线出来脸会更窄长，刚好他两院长也是标准的韩式长蛋脸审美，🍪的截骨线45 注定会有一点点，之前也看博主反馈过这个问题，不能两全
P 6原辰的截骨线 他家院长朴忠哲 ，审美比较好 颌面出身的医生，他的下颌切的满意度比较高认识的几个整友反馈，颧骨颧弓感觉适合基础好的妹子，磨一点耳前骨，截骨线适中 眼眶骨没竖直那么窄
P7拉菲安 的截骨线，不去骨适合颧骨没啥问题颧弓宽的姐妹
欢迎探讨 这也是我总结的博主的观点 #轮廓##韩国轮廓整形# 
韩国·Seoul korea",,"https://wx1.sinaimg.cn/large/007aW7Dagy1huu2mxoyfpj30m80m8jto.jpg,https://wx4.sinaimg.cn/large/007aW7Dagy1huu2myiklpj30zu25oakk.jpg,https://wx1.sinaimg.cn/large/007aW7Dagy1huu2mz4fghj31jk0owdql.jpg,https://wx3.sinaimg.cn/large/007aW7Dagy1huu2mzlxctj30d609a756.jpg,https://wx1.sinaimg.cn/large/007aW7Dagy1huu2n09ajtj30qs1jx7is.jpg,https://wx3.sinaimg.cn/large/007aW7Dagy1huu2mx4s88j30wi1yctrn.jpg,https://wx2.sinaimg.cn/large/007aW7Dagy1huu2n25aj2j30oa1go0wu.jpg",,韩国·Seoul korea,2024-10-21T15:54:17,iPhone客户端,12,3,14,"轮廓,韩国轮廓整形",,2024-10-21 15:54:17
5102954727867855	,P1eRGx0MT,"难怪我觉得zxd脸小的有点突兀放不下五官了，搜一搜真的做了……
其实做得比现在克制一点会更好看，脸真的不是越小越好啊啊啊 ",,,,,2024-11-21T01:11:18,iPhone 16 Pro Max,0,0,0,,,2024-11-21 01:11:18,True
5102909767549625	,P1dHavG09,"好多人劝鞠去正颌 怎么说呢 正颌之后会变成标准但没有特色的宽扁平脸，推颧一样
某种程度上颧骨和反颌也算是一种立体度？ 
都是靠极其上镜的眉眼+收窄的下颌+打光来达到漫画比例和特定角度的好看，上限极高下限极低。向标准去靠会失去个人特色和辨识度。
这个就是20%死忠 40%路人 40%get不到
和10%死忠 80%路人 10%get不到的取舍
另一个角度，就和乙游设定一样，喜欢你的人就是喜欢你这个样子，大动会失去粉丝基本盘，所以人物画的再崩也没法大改了",,,,,2024-11-20T22:12:39,iPhone 16 Pro Max,1,2,0,,,2024-11-20 22:12:39,True
5102547302614112	,P14gyaY36,"扁头扁脸阔面凹面短宽脸地包天一般是联动的
男生对反颌的容错度高很多 只要有个好鼻子 尤其是低角下颌角还能减轻反颌感 加上一点倔强坚毅感（比如某些男星）
下颌线越长越显得地包天，如果女生地包天的话 可以正面收窄宽度的同时 侧面把下颌角做到齐平嘴角的位置 ",,,,,2024-11-19T22:12:20,iPhone 16 Pro Max,2,0,0,,,2024-11-19 22:12:20,True
