id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106152302452709	,P2A34ai3P,,,,,,2024-11-29T20:57:19,小米9,0,3,0,,,2024-11-29 20:57:19,False,6141086679,极目视频,5106067822348555	,P2xQO9QXV,"#女子取款5000元银行要求丈夫到场#【沈阳一储户农行卡欲取款5000元，要丈夫到场并证明夫妻关系？银行：业务已办理，原因正调查】#银行回应女子取款5000元被要求丈夫到场#11月28日，辽宁沈阳一网友发视频称，转账支付房租失败后，她去该网点取丈夫刚转进去的5000元，但被银行要求证明打款人是谁，后又要求需她丈夫到现场处理，还要提供户口本、身份证、结婚证等材料，才能证明两人的夫妻关系。最后，还要证明这5000元的用途。29日，极目新闻记者从涉事银行了解到，确有此事，但该储户后来成功办理了业务，具体原因正在调查处理。农业银行客服告诉极目新闻记者，该网友这种情况不排除资金有涉及电信诈骗或者异常交易的情况，因此需要她携带相应的材料去核实，但具体原因还要看当时的提示内容。#女子取款5000元银行要求证明夫妻关系# 
极目视频的微博视频",,,"https://f.video.weibocdn.com/o0/yaGkgXWMlx08jY1628Xm010412005s430E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1732889243&ssig=AhGmMBuo0Z&KID=unistore,video",,2024-11-29T15:21:37,微博视频号,45,4,3,"女子取款5000元银行要求丈夫到场,银行回应女子取款5000元被要求丈夫到场,女子取款5000元银行要求证明夫妻关系",,2024-11-29 15:21:37
5106048642056710	,P2xlS8D2K,"有时想，要是再有钱一点，就去复兴李家。
因为我哥说，李家没后代。
就是两个堂弟还没结婚生子，穷。
陈家沾李家的光，有了后代并姓陈，然后嘲讽我们李家无后。
然后大表姐（姑姑的女儿）也阴阳我，李家大小姐。
妈的，这些人，一姓了外姓，就觉得姓李的穷透了，无望了。 ",,,,,2024-11-29T14:05:24,小米9,166,49,3,,,2024-11-29 14:05:24,True
5106041511744232	,P2xan7jKM,"用蒜末和小米辣炝炒焯过的西兰花，是我最近比较喜欢的一道菜。素菜荤味
 ",,https://wx1.sinaimg.cn/large/007RdC5Mgy1hw31vo3eb0j32bc334b2a.jpg,,,2024-11-29T13:37:05,小米9,89,10,1,,,2024-11-29 13:37:05,True
5106033624092677	,P2wXEhaGV,减到2成3仓。佛系。等砸盘再说。 ,,,,,2024-11-29T13:05:44,小米9,52,11,0,,,2024-11-29 13:05:44,True
5106030079904909	,P2wRVFyIB,"成天说我有钱吃不好的，山珍海味也不能天天吃啊，营养均衡就好。
刘德华比我有钱几百倍吧，全家吃素
 ",,https://wx1.sinaimg.cn/large/007RdC5Mgy1hw30kew1w1j32bc3344qq.jpg,,,2024-11-29T12:51:39,小米9,133,23,0,,,2024-11-29 12:51:39,True
5106026802054660	,P2wME8CvG,"高考报志愿别咨询我哈，有张雪峰老师。
我业务没还打算拓那么宽，也不做中学生咨询，因为责任太大，这种人生大事别找我
 ",,,,,2024-11-29T12:38:37,小米9,85,14,1,,,2024-11-29 12:38:37,True
5106025197733213	,P2wK3wrLf,"增城的房子一年半没去过了，管家说我那房型的排水管堵塞，也没说哪家，就是几十户分摊，用维修基金，可授权签名。喔，估计要堵也堵一楼二楼吧，应该不会泡我家。
11月的主题就是堵和漏
 ",,,,,2024-11-29T12:32:15,小米9,61,23,0,,,2024-11-29 12:32:15,True
5106014142334637	,P2wse9Nlr,"这波行情满仓后心里不踏实，解套卖飞了，少赚了几十。不过，小赚也行
 ",,,,,2024-11-29T11:48:19,小米9,84,18,0,,,2024-11-29 11:48:19,True
5106013672051630	,P2wrt8BIO,"在离我最近的地方开了个房，100多点，跟健身房楼上楼下，主要为了拉完屎就洗澡方便，健身可以洗澡，但跟卫生间是分开的
 ",,,,,2024-11-29T11:46:27,小米9,36,4,0,,,2024-11-29 11:46:27,True
5106009150328389	,P2wkb1nqB,又减到了3成仓 ,,,,,2024-11-29T11:28:29,小米9,47,9,0,,,2024-11-29 11:28:29,True
5106003343576604	,P2waOf0ra,"4S嗷嗷叫，我说，赶紧撤回。
不让他给我发这种信息
他就是多事敏感，以前暖气片漏水他第一个报警。
今天看卫生间打了胶，觉得哪里不对，老问我怎么了。 ",,,,,2024-11-29T11:05:25,小米9,29,2,0,,,2024-11-29 11:05:25,True
5105998729841001	,P2w3mFi5P,起床晚了，do得不多，跌的加了一下，3成7 ,,,,,2024-11-29T10:47:05,小米9,33,3,0,,,2024-11-29 10:47:05,True
5105876610318916	,P2sSp1kXO,"封完地漏，为了把一管进口密封胶用完，我把淋浴区的边角，墙砖裂纹，都抹了一遍胶，马桶也封了一下。附赠的工具不好用，我全程用手指抹胶，手哥辛苦了！
明天卫生间要保持干燥，准备去健身房洗澡或者开个房
 ",,"https://wx1.sinaimg.cn/large/007RdC5Mgy1hw2j1wugozj33342bc4qr.jpg,https://wx4.sinaimg.cn/large/007RdC5Mgy1hw2j3626ytj33342bc1kz.jpg",,,2024-11-29T02:41:49,小米9,97,30,1,,,2024-11-29 02:41:49,True
5105828812554435	,P2rDjaIwz,我用毛刷扫灰，4S叼起它就跑。这个疯子，每次见到毛刷就异常亢奋，不松口，我只能拿罐头🥫 ,,https://wx1.sinaimg.cn/large/007RdC5Mgy1hw2dg8mpfpj32bc334kjm.jpg,,,2024-11-28T23:31:52,小米9,58,5,0,,,2024-11-28 23:31:52,True
5105826069746613	,P2rySETxr,"学会换地漏以后，我觉得自己像房东妈妈一样能干了，观察师傅怎么拆装旧式吊顶和装灯之后，我好像也会了。哪天失业了，我也去干家政维修
 ",,,,,2024-11-28T23:20:59,小米9,69,15,0,,,2024-11-28 23:20:59,True
5105809060790968	,P2r7s3jLy,"我往下水管口周边的渗水坑倒了点堵漏王，也不知道对不对，因为上次掏旧地漏，把水管周边的污泥沙石也掏了，算是回填，这样坑就很浅，只比管口低一点点，有积水很快就能漫过到下水管去，而不会存着一圈水。
开始堵漏王倒多了，我怕高过水管口，用纸巾蘸水擦了又擦按了又按。
第一回当瓦工
图1是回填前，图2是回填后。",,"https://wx1.sinaimg.cn/large/007RdC5Mgy1hw2b5v9zq4j33342bcb2b.jpg,https://wx2.sinaimg.cn/large/007RdC5Mgy1hw2b607d80j33342bcnpf.jpg",,,2024-11-28T22:13:24,小米9,54,12,0,,,2024-11-28 22:13:24,True
5105794233931721	,P2qJxguOR,"干一行爱一行，干男人研究男人，干地漏研究地漏
 ",,,,,2024-11-28T21:14:29,小米9,189,23,1,,,2024-11-28 21:14:29,True
5105785696685536	,P2qvLs3de,"研究了各种地漏管件和连接件之后，我放弃了内插50包括加长款，因为地漏的断层设计是为了二次排水，下水管周边也有个渗水坑，如果有积水可以漫过下水管和排出去，用内插50加高，就排不了，反而积在里面。
加长的地漏芯，也分有防臭开合的和直通的，我发现防臭款在残余的水滴下去时，会有开合的声音，不知道会不会传导到楼下成为噪音。直通的就很丝滑。
这个地漏主要连接洗手盆排水管，以前水管不好固定，水流一大会滑脱到地漏之外。我买了连接洗手盆排水管和地漏芯的连接器，可以像个高脚杯一样插进地漏。
通过几层防御，地漏不封边也不怎么会渗水了。",,"https://wx2.sinaimg.cn/large/007RdC5Mgy1hw28h3msd8j33342bcb2b.jpg,https://wx4.sinaimg.cn/large/007RdC5Mgy1hw28hf6c4wj33342bc4qr.jpg,https://wx1.sinaimg.cn/large/007RdC5Mgy1hw28hqeni8j32bc334hdv.jpg",,,2024-11-28T20:40:33,小米9,106,12,3,,,2024-11-28 20:40:33,True
5105773455346722	,P2qc1mqVs,"总有人说，你有钱还跟我一样抠门。
可我賺钱不是为了过奢侈生活啊，
吃喝嫖（睡男人）赌（玩大A）就是爱好。 ",,,,,2024-11-28T19:51:55,小米9,246,32,6,,,2024-11-28 19:51:55,True
5105767038849481	,P2q1FB89z,"盖饭肉太少，于是加了3串羊肉串（18元），花生露（4元）。加上盖饭17元，我花了近40
 ",,https://wx1.sinaimg.cn/large/007RdC5Mly1hw26cv12l1j30u01407a0.jpg,,,2024-11-28T19:26:25,小米9,88,27,0,,,2024-11-28 19:26:25,True
5105762571127158	,P2pUt4JdY,蒜苔牛肉盖饭，17。打工人快餐。 ,,https://wx4.sinaimg.cn/large/007RdC5Mly1hw25udujhaj30u0140dkv.jpg,,,2024-11-28T19:08:40,小米9,83,12,1,,,2024-11-28 19:08:40,True
5105708339299344	,P2ouZD1bq,"更新了问答。
横竖都是一死，不如死得体面。手写离婚协议，自觉净身出户，既保住了家里的完整，又保住了家外的安全。好过那些被发狠的妻子抓到实锤弄到声名狼藉的。而且这种“裸辞”不对外公开，你也不能大张旗鼓去相亲，再婚机会甚小。节假日回来一起吃一起睡，就是占着半张床，让你离不开他的魂。送花送礼物，不是对你的爱加深了，是被外面的女人教多了，学会了取悦，顺便来个双份。真的，男人的开窍，往往就在一瞬间，情人跟他说，你这样做我会开心啊，他转身就拿老婆测试效果。
（投稿可私信我，500字以内的问题）",,https://wx4.sinaimg.cn/large/007RdC5Mgy1hw1zm4psv4j30u01t0grb.jpg,,,2024-11-28T15:33:10,小米9,57,8,1,,,2024-11-28 15:33:10,True
5105700475505057	,P2oijn67f,今天没薅到大A的羊毛 ,,https://wx1.sinaimg.cn/large/007RdC5Mgy1hw1ypngu62j307y06iweh.jpg,,,2024-11-28T15:01:55,小米9,86,22,1,,,2024-11-28 15:01:55,True
5105696679659621	,P2ocbEwUl,"咔咔一顿忙，吊顶总算恢复。滴水工程告一段落。
所以我为啥只买房不搞装修，我经不起折磨
 ",,,,,2024-11-28T14:46:50,小米9,56,4,0,,,2024-11-28 14:46:50,True
5105651280512427	,P2n0Y29iX,早上减仓减少了，我也绿了。 ,,,,,2024-11-28T11:46:26,小米9,87,15,1,,,2024-11-28 11:46:26,True
5105651116937833	,P2n0Ht6Qx,,,,,,2024-11-28T11:45:47,小米9,27,15,5,,,2024-11-28 11:45:47,False,6420207784,1024专员,5105632129322983	,P2mw4D7kH,"马来西亚飞机场候机大厅，大妈们路中间拉手跳舞，大声喧哗！
家人们，在外面请注意素质，不要让人家乱贴标签！实在不行，拍完视频过后说两句简单的韩语呢…… 
1024专员的微博视频
 ",,,"https://f.video.weibocdn.com/u0/2NukqaQCgx08jW59b2mA01041200t9zr0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732889284&ssig=SuUPoglnGC&KID=unistore,video",,2024-11-28T10:30:20,微博视频号,639,120,36,,,2024-11-28 10:30:20
5105643862098897	,P2mP08O1b,今天的麻将很麻，浪费时间。 ,,,,,2024-11-28T11:16:57,小米9,27,1,0,,,2024-11-28 11:16:57,True
5105639245742281	,P2mHyo5Pr,芒记她，等于芒记一切…… ,,,,,2024-11-28T10:58:36,小米9,33,5,0,,,2024-11-28 10:58:36,True
5105631944246765	,P2mvMhOMd,"石康想操女的，结果吸了很多男粉
 ",,,,,2024-11-28T10:29:36,小米9,309,44,12,,,2024-11-28 10:29:36,True
5105623638999864	,P2minBLh6,减到3成3仓 ,,,,,2024-11-28T09:56:36,小米9,68,16,2,,,2024-11-28 09:56:36,True
5105479758646134	,P2iyjAhfM,,,,,,2024-11-28T00:24:52,小米9,153,35,9,,,2024-11-28 00:24:52,False,6063043155,陪你keep到底,5104535205054213	,P1TYQlcPz,"这可怎么办，不是故意冒犯，只是单纯做个比较而已 吴柳芳 管晨辰 奥运冠军 在 dou上火了 #管晨辰# #冠军# 
陪你keep到底的微博视频
 ",,,"https://f.video.weibocdn.com/o0/Ll64KZltlx08jRgRXhGM010412007VBP0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732889294&ssig=bk88fEQROc&KID=unistore,video",,2024-11-25T09:51:33,微博视频号,33365,2683,487,"管晨辰,冠军",,2024-11-25 09:51:33
5105453302288606	,P2hRE9Bn0,你们的快感追求很高，我在床上吃点小零食就觉得不错了。 ,,,,,2024-11-27T22:39:44,小米9,96,13,2,,,2024-11-27 22:39:44,True
5105413778052362	,P2gPTxMMO,//@caozenghui:先转下。//@Zodzod_张浩:是本人么,,,,,2024-11-27T20:02:41,小米9,32,1,17,,"caozenghui,Zodzod_张浩",2024-11-27 20:02:41,False,3918587804,吴柳芳-56学姐,5104564051118862	,P1UJn4H4a,"分享视频 
北京
 
吴柳芳-56学姐的微博视频
 ",,,"https://f.video.weibocdn.com/o0/ICubbGI9lx08jRoJPeJO01041200cOyL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732889294&ssig=oMrF2ZIy3s&KID=unistore,video",北京,2024-11-25T11:46:11,微博视频号,330,21,76,,,2024-11-25 11:46:11
5105412616225409	,P2gO1q7vP,"看到一个小散，76万市值，持有8个票，真够忙的
 ",,,,,2024-11-27T19:58:04,小米9,201,73,7,,,2024-11-27 19:58:04,True
5105401433167171	,P2gvZdhVp,,,,,,2024-11-27T19:13:38,小米9,11,1,4,,,2024-11-27 19:13:38,False,2318910945,新浪热点,5105312847628341	,P2ed6w0tL,"#男子将妻子推入海中淹死后竟招嫖#【“完美丈夫”推妻入海骗保1200万，事后竟在酒店招嫖，民警还发现……】#男子推妻入海骗保一细节让民警生疑# 近日，央视曝光了一则已经宣判死刑的旧案，案件发生在2021年5月5日，在大连开往烟台的轮船上，男子李某带着妻子李某环看风景，而在监控死角，妻子坠海身亡。
那天，李某穿着一丝不苟，带着大他几岁的新婚妻子李某环，从上海回辽宁老家落户。回来的路上，他们选择乘船。当时的妻子一定很开心，因为李某无论到哪里，妻子都在他身后碎步跟随，并不算精致的着装，也经过细心打扮。
妻子开开心心拍着大海，看着海鸥，对未来充满期待，而丈夫却一直严肃不语。妻子想不到，她想跟丈夫拍张合影的时候，丈夫却在内心盘算如何杀了她。趁妻子不在身边的空档，李某独自在甲板上摇晃栏杆。
10分钟后，他把妻子骗到栏杆外面，停放救生船的地方，随后妻子坠海……
船上回荡着丈夫撕心裂肺的哭喊声。经过45分钟的搜寻，民警找到了妻子，那时，妻子已经没了生命迹象。看着尸体，李某做瘫痪无力状，需要民警搀扶，而他一直呼唤妻子的名字。
按规定，落水案件在调查清楚之前，一律按照刑事案件对待。民警询问事情经过，李某说妻子个头矮想看海，就带她到栏杆较矮的地方去。这期间，李某催促着民警开具死亡证明，说老家有传统，人死后三天内必须火化。
可看完监控后，民警起了疑心。整艘船有200多个摄像头，李某偏偏带妻子去了一个监控死角，被救生艇遮挡的地方，连民警都很难找到的这个地方。而且意外坠海的人，不会出现空中反转的动作。
此外双方结婚，女方的亲属竟然不知道。丈夫44岁名校毕业，此前一直未婚，在上海有自己的餐馆。妻子46岁已经有两段婚姻，带着两个孩子，样貌也不出众，在李某的餐馆做服务员，没人会相信他们能走在一起。而且两人结婚后，出入形同陌路，有名无实。
随后，民警决定进行尸检。经法医确定，死者生前有被拳头打击和捂闷的痕迹。因此，她是被推下的。而且民警还发现，李某不仅在婚后交往着一名19岁的在校情人，还在妻子刚死后不久，就在酒店招嫖。
经过警方综合调查发现，李某系为骗取巨额保险金，若李某环乘坐交通工具时发生意外身亡，受益人李某最高可获1200余万赔偿金。警方表示李某债务缠身，总计负债上百万，案发前透支多张自己和妻子名下银行卡。
2022年7月，大连中院判决李某犯故意杀人罪、保险诈骗罪数罪并罚，决定执行死刑。2023年12月辽宁高院驳回李某上诉，维持原判。（新闻晨报）#男子为骗保把妻子推下轮船坠海身亡#",,"https://wx3.sinaimg.cn/large/002wVUFrly8hw0pypmzeng60hs0ci7gm02.gif,https://wx4.sinaimg.cn/large/002wVUFrly8hw0pylis2hg60gq0exnpd02.gif,https://wx3.sinaimg.cn/large/002wVUFrly8hw0pyx83xsj60hs0a23za02.jpg,https://wx2.sinaimg.cn/large/002wVUFrly8hw0pyx91zmj60hs0a00tk02.jpg,https://wx1.sinaimg.cn/large/002wVUFrly8hw0pyx8utvj60hs0973zg02.jpg,https://wx2.sinaimg.cn/large/002wVUFrly8hw0pyx8ofqj60hs08b3z402.jpg,https://wx3.sinaimg.cn/large/002wVUFrly8hw0pyx9szpj60hs09x75s02.jpg,https://wx2.sinaimg.cn/large/002wVUFrly8hw0pyx7mirj60hs09e3z802.jpg,https://wx3.sinaimg.cn/large/002wVUFrly8hw0pyxm5pkj60hs09g3z102.jpg",,,2024-11-27T13:21:38,微博发布平台专业版,6728,464,554,"男子将妻子推入海中淹死后竟招嫖,男子推妻入海骗保一细节让民警生疑,男子为骗保把妻子推下轮船坠海身亡",,2024-11-27 13:21:38
5105400607409233	,P2guEv5tL,"西兰花有点硬，加大叶茼蒿炒炒。
燕麦米饭+橄榄菜有些日子没登场了。
鸡汤还是那个散养鸡块清炖。 ",,"https://wx4.sinaimg.cn/large/007RdC5Mly1hw109shh5bj30u0140af3.jpg,https://wx2.sinaimg.cn/large/007RdC5Mly1hw109t3jb6j30u0140q7w.jpg,https://wx4.sinaimg.cn/large/007RdC5Mly1hw109tpgujj30u0140jwm.jpg",,,2024-11-27T19:10:21,小米9,84,9,1,,,2024-11-27 19:10:21,True
5105400174872696	,P2gtXkrBS,"留几手说他软了5年了。
那葛夕用啥？ ",,,,,2024-11-27T19:08:38,小米9,279,53,3,,,2024-11-27 19:08:38,True
5105399495656868	,P2gsRnJBO,,,,,,2024-11-27T19:05:56,小米9,52,1,7,,,2024-11-27 19:05:56,False,6987108874,改不了一点鹅,5105285707860334	,P2dvkwYPA,"黄山上的功夫小猫，它好厉害啊，就这么丝滑的接住了！#猫咪# 
改不了一点鹅的微博视频
 ",,,"https://f.video.weibocdn.com/u0/T2G3QN4Igx08jUzFukC4010412005Ddr0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732889294&ssig=Qu3%2F4k0veT&KID=unistore,video",,2024-11-27T11:33:47,微博视频号,2168,92,213,猫咪,,2024-11-27 11:33:47
5105366787949450	,P2fC6xm0W,"我准备吃一粒辅酶10，药放嘴里，准备喝水时，4S正叭嗒叭嗒喝我杯里的水。不孝子
 ",,,,,2024-11-27T16:55:58,小米9,81,13,0,,,2024-11-27 16:55:58,True
5105360062907800	,P2frgccs0,我能客观点评几句算很给面子了,,,,,2024-11-27T16:29:14,小米9,186,30,0,,,2024-11-27 16:29:14,False,7770174681,废话制造机0011号,5105259730964708	,P2cPr42XO,看到周云蓬也屏摄、木子美也暗戳戳骂《好东西》，就觉得人类的层次真的参差不齐 ,,,,,2024-11-27T09:50:34,iPhone客户端,2,5,1,,,2024-11-27 09:50:34
